category,hilarious,funny,normal,bad,horrible,score
Animal,0,0,0,0,0,0.0196078431372549
At Work,0,0,0,0,0,0.0196078431372549
Aviation,0,0,0,0,0,0.0196078431372549
Bar,0,0,0,0,0,0.0196078431372549
Blind,0,0,0,0,0,0.0196078431372549
Blonde,0,0,0,0,0,0.0196078431372549
Business,0,0,0,0,0,0.0196078431372549
Children,0,0,0,0,0,0.0196078431372549
College,0,0,0,0,0,0.0196078431372549
Computers,0,0,0,0,0,0.0196078431372549
Crazy,0,0,0,0,0,0.0196078431372549
Deep Thoughts,0,0,0,0,0,0.0196078431372549
English,0,0,0,0,0,0.0196078431372549
Ethnic,0,0,0,0,0,0.0196078431372549
"Family, Parents",0,0,0,0,0,0.0196078431372549
Farmer,0,0,0,0,0,0.0196078431372549
Food,0,0,0,0,0,0.0196078431372549
Gross,0,0,0,0,0,0.0196078431372549
Heaven and Hell,0,0,0,0,0,0.0196078431372549
Holiday,0,0,0,0,0,0.0196078431372549
Idiot,0,0,0,0,0,0.0196078431372549
Insult,0,0,2,0,0,1.2
Knock-Knock,0,0,0,0,0,0.0196078431372549
Lawyer,0,1,0,0,0,0.8
Light Bulb,0,0,0,0,0,0.0196078431372549
Love & Romance,0,0,0,0,0,0.0196078431372549
Marriage,0,0,0,0,0,0.0196078431372549
Medical,0,0,0,0,0,0.0196078431372549
Men,0,0,0,0,0,0.0196078431372549
Men / Women,0,0,0,0,0,0.0196078431372549
Military,0,0,0,0,0,0.0196078431372549
Miscellaneous,0,0,0,0,0,0.0196078431372549
Money,0,0,0,0,0,0.0196078431372549
Music,0,0,0,0,0,0.0196078431372549
News / Politics,0,0,0,0,0,0.0196078431372549
Office,0,0,0,0,0,0.0196078431372549
Old Age,0,0,0,0,0,0.0196078431372549
One Liner,0,0,0,0,0,0.0196078431372549
Police,0,0,0,0,0,0.0196078431372549
Political,0,0,0,0,0,0.0196078431372549
Pun,0,0,0,0,0,0.0196078431372549
Redneck,0,0,0,0,0,0.0196078431372549
Religious,0,0,0,0,0,0.0196078431372549
School,0,0,0,0,0,0.0196078431372549
Science,0,0,0,0,0,0.0196078431372549
Sex,0,0,0,0,0,0.0196078431372549
Sport,0,0,0,0,0,0.0196078431372549
State,0,0,0,0,0,0.0196078431372549
Tech,0,0,0,0,0,0.0196078431372549
Women,0,0,0,0,0,0.0196078431372549
Yo Momma,0,0,0,0,0,0.0196078431372549
